"name_of_facility","city_state","facility_type","race","gender","still_in_existence","years_of_existence","deaths_na","death_qualifiers","cemetery","state_of_cemetery","reported_on_recently","allegations_of_abuse","allegations_of_forced_labor","city","state","state_only"
"House of Refuge of Western Pennsylvania","Allegheny, Pennsylvania","Reformatory","All races but segregated","Both","No","1850-1967",44,"article says 35 but Find a grave says 44","yes","maintained","yes","yes","unknown","Alleghany","Pennsylvania",FALSE
"Industrial Home for Colored Girls","Melvale, Maryland","Industrial School","Black youth","Girls","No","1884-1973",0,NA,"no","no known cemetery","no","unknown","unknown","Melvale","Maryland",FALSE
"House of the Good Shepherd for Colored Girls","Baltimore, Maryland","Reformatory","Black youth","Girls","No","1892-1970",0,NA,"no","no known cemetery","no","unknown","yes","Baltimore","Maryland",FALSE
"Virginia Home and Industrial School for Girls","Bon Air, Virginia","Industrial School","White youth","Girls","Yes","1910-",0,NA,"no","no known cemetery","yes","unknown","yes","Bon Air","Virginia",FALSE
"Virginia Industrial School for Colored Girls","Mechanicsville, Virginia","Industrial School","Black youth","Girls","No","1915-2005",0,"More deaths reported; burial sites only marked with wooden markers","yes","abandoned","no","yes","yes","Mechanicsville","Virginia",FALSE
"Alabama Boys’ Industrial School (ABIS)","Birmingham, Alabama","Industrial School","White youth","Boys","Yes","1899",0,NA,"no","no known cemetery","yes","unknown","unknown","Birmingham","Alabama",FALSE
"State Training School for Negro Boys","Boley, Oklahoma","Industrial School","Black youth","Boys","No","1924-1983",0,NA,"no","no known cemetery","no","unknown","unknown","Boley","Oklahoma",FALSE
"State Industrial Home For Girls","Chillicothe, Missouri","Industrial School","White youth","Girls","No","1887-1980",0,NA,"no","no known cemetery","no","unknown","unknown","Chillicothe","Missouri",FALSE
"Missouri Industrial Home for Negro Girls at Tipton","Tipton, Missouri","Industrial School","Black youth","Girls","No","1916-1956",0,NA,"no","no known cemetery","no","yes","unknown","Tipton","Missouri",FALSE
"State Reform School for Boys","Boonville, Missouri","Reformatory","All races but segregated","Boys","Yes","1889-2004",25,"Find a grave says 51 but only 25 memorials exist and no other evidence of the 51 number. Because we can't go, 25 feels more demonstrative","yes","unknown","no","yes","unknown","Boonville","Missouri",FALSE
"Boston House of Refuge","Boston, Massachusetts","Reformatory","All races but segregated","Both","Unknown","1826-?",0,NA,"no","no known cemetery","no","unknown","unknown","Boston","Massachusetts",FALSE
"Girls Industrial School","Alexander, Arkansas","Industrial School","White youth","Girls","Unknown","1905-?",0,NA,"no","no known cemetery","no","unknown","unknown","Alexander","Arkansas",FALSE
"Fargo Training School for Girls","Fargo, Arkansas","Industrial School","Black youth","Girls","No","1949-1955",0,NA,"no","no known cemetery","no","unknown","unknown","Fargo","Arkansas",FALSE
"
Arkansas Boys Industrial School","Pine Bluff, Arkansas","Industrial School","White youth","Boys","No","1905-2008",0,NA,"no","no known cemetery","no","unknown","unknown","Pine Bluff","Arkansas",FALSE
"Washington State Reform School","Chehalis, Washington","Reformatory","Unknown","Both","Yes","1891-",0,NA,"no","no known cemetery","no","yes","unknown","Chehalis","Washington",FALSE
"House of Reformation and Instruction for Colored Children","Cheltenham, Maryland","Reformatory","Black youth","Boys","Yes","1873-present",243,"243","yes","abandoned","yes","yes","yes","Cheltenham","Maryland",FALSE
"Cincinnati House of Refuge","Cincinnati, Ohio","Reformatory","All races but segregated","Both","No","1850-",0,NA,"no","no known cemetery","no","yes","unknown","Cincinnati","Ohio",FALSE
"South Carolina Industrial School for Girls","Columbia, South Carolina","Industrial School","White youth","Girls","Unknown","1918 -?",0,NA,"no","no known cemetery","no","unknown","unknown","Columbia","South Carolina",FALSE
"Stonewall Jackson Manual Training and Industrial School","Concord, North Carolina","Industrial School","Unknown","Boys","Yes","1909",0,NA,"no","no known cemetery","no","yes","unknown","Concord","North Carolina",FALSE
"Oaklawn School for Girls","Cranston, Rhode Island","Reformatory","Unknown","Girls","No","1880-1979",8,"Map shows 8 names","yes","no known cemetery","yes","yes","unknown","Cranston","Rhode Island",FALSE
"Samarcand Manor","Eagle Springs, North Carolina","Reformatory","White youth","Girls","No","1918-?",0,NA,"no","no known cemetery","yes","yes","unknown","Eagle Springs","North Carolina",FALSE
"Sockanosset Boys Training School","Cranston, Rhode Island","Reformatory","Unknown","Boys","Yes","1881-",0,NA,"Possible","unknown","yes","unknown","unknown","Cranston","Rhode Island",FALSE
"State Reform and Industrial School for Girls","Delaware, Ohio","Industrial School","Unknown","Girls","No","1840-1981",72,"72","yes","maintained","no","unknown","unknown","Delaware","Ohio",FALSE
"Eldora State Training School for Boys","Eldora, Iowa","Reformatory","Unknown","Boys","Yes","1868-",1,"at least 1","yes","unknown","no","yes","unknown","Eldora","Iowa",FALSE
"Reformatory for Negro boys","Florence, South Carolina","Reformatory","Black youth","Boys","Unknown","1907 -?",0,NA,"no","no known cemetery","no","unknown","unknown","Florence","South Carolina",FALSE
"Industrial School for White Boys","Florence, South Carolina","Reformatory","White youth","Boys","Unknown","1907 -?",0,NA,"no","no known cemetery","no","unknown","unknown","Florence","South Carolina",FALSE
"Arizona State Industrial School for Wayward Boys and Girls","Benson, Arizona","Industrial School","Unknown","Both","No","1912-1983",0,NA,"no","no known cemetery","no","unknown","unknown","Benson","Arizona",FALSE
"Gainesville State School for Girls","Gainesville, Texas","Industrial School","White youth","Girls","Yes","1913- (now for boys)",0,NA,"no","no known cemetery","no","unknown","unknown","Gainesville","Texas",FALSE
"Illinois State Training School for Girls","Geneva, Illinois","Reformatory","All races but segregated","Girls","No","1893–1976",51,"58 memorials but plaque says 51","yes","maintained","yes","yes","unknown","Geneva","Illinois",FALSE
"Girls' Industrial School","Geneva, Nebraska","Industrial School","Unknown","Girls","No","1892-2019",0,NA,"no","no known cemetery","no","unknown","unknown","Geneva","Nebraska",FALSE
"State Industrial School
","Golden, Colorado","Industrial School","Unknown","Boys","Yes","1881",0,NA,"no","no known cemetery","no","yes","yes","Golden","Colorado",FALSE
"Waialeʻe Industrial School for Boys","Oahu, Hawaii","Industrial School","Pacific Islander","Boys","No","1901-1950s",1,"1","Possible","unknown","yes","yes","yes","Oahu","Hawaii",FALSE
"State Home and Industrial School for Girls","Morrison, Colorado","Industrial School","Unknown","Girls","Yes","1887",0,NA,"no","no known cemetery","no","unknown","unknown","Morrison","Colorado",FALSE
"State Training School for Negro Boys at Hoffman","Hoffman, North Carolina","Reformatory","Black youth","Boys","Yes","1925 - (now a prison)",0,NA,"no","no known cemetery","no","unknown","unknown","Hoffman","North Carolina",FALSE
"Preston School of Industry","Ione, California","Industrial School","All races","Boys","No","1894-2011",18,"18","yes","maintained","yes","yes","unknown","Ione","California",FALSE
"Industrial School for Girls at Mitchellville","Mitchellville, Iowa","Reformatory","Unknown","Girls","Yes","1899-present",1,"Find a grave says ""70 or so""","yes","maintained","no","unknown","unknown","Mitchellville","Iowa",FALSE
"Tennessee Vocational School for Colored Girls","Nashville, Tennessee","Industrial School","Black youth","Girls","No","1923-1979",0,NA,"no","no known cemetery","no","unknown","unknown","Nashville","Tennessee",FALSE
"Tennessee Vocational Reformatory for Girls","Tullahoma, Tennessee","Reformatory","Unknown","Girls","No","1917-1983",0,NA,"no","no known cemetery","no","unknown","unknown","Tullahoma","Tennessee",FALSE
"Tennessee Reformatory for Boys","Jordonia, Tennessee","Reformatory","White youth","Boys","No","1911-1971",0,NA,"no","no known cemetery","no","yes","unknown","Jordonia","Tennessee",FALSE
"Nebraska State Reform School for Juvenile Offenders","Kearney, Nebraska","Reformatory","All races","Both","Yes","1879",0,NA,"no","no known cemetery","yes","yes","unknown","Kearney","Nebraska",FALSE
"Lancaster Industrial School for Girls","Lancaster, Massachusetts","Industrial School","Unknown","Girls","No","1856-1970s",4,"4","yes","unknown","yes","unknown","unknown","Lancaster","Massachusetts",FALSE
"State Reform Farm","Lancaster, Ohio","Reformatory","Unknown","Boys","Yes","1857- (now a prison)",22,"22 kids with memorials that exist on Find a grave (the rest are adults), there are 31 gravestones with no names on them so can't verify if they are kids or not","yes","maintained","yes","unknown","unknown","Lancaster","Ohio",FALSE
"Industrial School for Boys","Lansing, Michigan","Industrial School","Unknown","Boys","No","1856-1972",61,"61","yes","maintained","yes","unknown","unknown","Lansing","Michigan",FALSE
"Industrial School of Reform","Louisville, Kentucky","Industrial School","All races but segregated","Both","No","1854-1923",0,NA,"no","no known cemetery","no","yes","unknown","Louisville","Kentucky",FALSE
"House of Reform","Greendale, Kentucky","Reformatory","Unknown","Boys","Yes","1897 - (now an adult facility)",0,NA,"no","no known cemetery","no","yes","yes","Greendale","Kentucky",FALSE
"House of Refuge","Baltimore, Maryland","Reformatory","White youth","Boys","Yes","1850 -",22,"is 22 right?","Possible","unknown","yes","yes","yes","Baltimore","Maryland",FALSE
"House of Reformation for Females and Juvenile Offenders","Manchester, New Hampshire","Reformatory","Unknown","Both","Yes","1858",0,NA,"no","no known cemetery","no","unknown","unknown","Manchester","New Hampshire",FALSE
"North Dakota State Reform School","Mandan, North Dakota","Reformatory","Unknown","Both","Yes","1903",0,NA,"no","no known cemetery","no","unknown","unknown","Mandan","North Dakota",FALSE
"New York House of Refuge","Manhattan, New York","Reformatory","All races but segregated","Both","No","1825-1935",101,"101","Possible","unknown","no","yes","yes","Manhattan","New York",FALSE
"Florida State Reform School","Marianna, Florida","Reformatory","All races but segregated","Boys","No","1900-2011",100,"USF which did research say nearly 100","yes","maintained","yes","yes","yes","Marianna","Florida",FALSE
"State Reform School","Meriden, Connecticut","Reformatory","All races","Boys","No","1855-2003",40,"plaque says 30 to 40, which I take as more demonstrative than memorials on find a grave exist (25)","yes","maintained","no","yes","unknown","Meriden","Connecticut",FALSE
"Connecticut Industrial School for Friendless Girls","Middletown, Connecticut","Reformatory","All races","Girls","No","1870-2003",28,"28, includes 1998 suicide","yes","maintained","no","yes","yes","Middletown","Connecticut",FALSE
"State Reform School","Miles City, Montana","Reformatory","Unknown","Both","Yes","1893-",0,NA,"no","no known cemetery","no","yes","unknown","Miles City","Montana",FALSE
"Augusta Reformatory","Augusta, Georgia","Reformatory","Black youth","Boys","Yes","1930s -",0,NA,"no","no known cemetery","no","unknown","unknown","Augusta","Georgia",FALSE
"Adamsville Reformatory","Atlanta, Georgia","Reformatory","Unknown","Girls","Unknown","1930s-1999",0,NA,"no","no known cemetery","no","unknown","unknown","Atlanta","Georgia",FALSE
"Georgia State Reformatory","Milledgeville, Georgia","Reformatory","Unknown","Boys","No","1905-2009",0,NA,"no","no known cemetery","no","unknown","unknown","Milledgeville","Georgia",FALSE
"Industrial School For Girls","Beloit, Kansas","Industrial School","Unknown","Girls","No","1889-2009",1,"1","Possible","unknown","no","yes","unknown","Beloit","Kansas",FALSE
"The Maine Industrial School for Girls","Hallowell, Maine","Industrial School","Unknown","Girls","Yes","1875 - Present",16,"16","yes","maintained","no","unknown","unknown","Hallowell","Maine",FALSE
"New Jersey Training School","Monroe, New Jersey","Industrial School","Unknown","Both","No","1867 - 2018",0,NA,"no","no known cemetery","yes","yes","unknown","Monroe","New Jersey",FALSE
"State Reform School","Monroe, Louisiana","Industrial School","White youth","Boys","Yes","1907 - present",0,"Unknown","no","no known cemetery","yes","yes","unknown","Monroe","Louisiana",FALSE
"Alabama Reform School for Juvenile Negro Law-Breakers","Mount Meigs, Alabama","Reformatory","Black youth","Both","SELECT","1907 -",0,"Unknown","no","no known cemetery","yes","yes","yes","Mount Meigs","Alabama",FALSE
"Tennessee Vocational School for Colored Girls","Nashville, Tennessee","Correctional","Black youth","Girls","No","1923 - 1979",0,"Unknown","no","no known cemetery","no","unknown","unknown","Nashville","Tennessee",FALSE
"Colored Waif's Home","New Orleans, Louisiana","Reformatory","Black youth","Boys","No","1906  - 2017",0,"Unknown","no","no known cemetery","no","yes","unknown","New Orleans","Louisiana",FALSE
"New York Training School for Boys","Warwick, New York","Industrial School","All races","Boys","No","1933 - 1976 (different name)",0,"0","no","no known cemetery","no","unknown","unknown","Warwick","New York",FALSE
"Florida Industrial School for Girls","Ocala, Florida","Industrial School","White youth","Girls","No","1915- 1984 (different name)",0,NA,"no","no known cemetery","no","unknown","unknown","Ocala","Florida",FALSE
"State Industrial School","Ogden, Utah","Industrial School","All races","Both","No","1889 - 1983 (different name)",0,"Unknown","no","no known cemetery","no","yes","unknown","Ogden","Utah",FALSE
"Milwaukee Industrial School","Milwaukee, Wisconsin","Industrial School","White youth","Both","No","1875 - ?",0,"Unknown","no","no known cemetery","no","unknown","unknown","Milwaukee","Wisconsin",FALSE
"Pauls Valley State Training School for White Boys","Pauls Valley, Oklahoma","Industrial School","White youth","Boys","No","1907 - 2015 (different purpose)",0,"Unknown","no","no known cemetery","no","unknown","unknown","Pauls Valley","Oklahoma",FALSE
"Philadelphia House of Refuge","Philadelphia, Pennsylvania","Reformatory","White youth","Both","No","1826 - 2019",1,"Black youth in 1930 executed","no","no known cemetery","no","yes","yes","Philadelphia","Pennsylvania",FALSE
"Tennessee Reformatory for Negro Boys","Pikeville, Tennessee","Reformatory","Black youth","Boys","No","1918 - 2012",1,NA,"no","no known cemetery","no","yes","yes","Pikeville","Tennessee",FALSE
"Indiana Boys School","Plainfield, Indiana","Reformatory","White youth","Boys","No","1867 - 2005",59,"got the number from find a grave","yes","maintained","no","yes","unknown","Plainfield","Indiana",FALSE
"State Training School","Plankinton, South Dakota","Correctional","Unknown","Both","No","1888 - 2001",1,"happened recently in 1999","no","no known cemetery","no","yes","unknown","Plankington","South Dakota",FALSE
"Illinois Boys Reformatory School","Pontiac, Illinois","Reformatory","Unknown","Boys","Yes","1871 - present (different name, adult penal institution)",0,"Unknown","no","no known cemetery","no","unknown","unknown","Pontiac","Illinois",FALSE
"Providence Reform School","Providence, Rhode Island","Reformatory","Unknown","Both","No","1850 - 1882",0,"Unknown","no","no known cemetery","no","unknown","unknown","Providence","Rhode Island",FALSE
"Western House of Refuge in New York","Rush, New York","Reformatory","Unknown","Both","Yes","1849 - present (different name)",14,NA,"yes","unknown","yes","yes","yes","Rochester","New York",FALSE
"Maine State Reform School for Boys","South Portland, Maine","Reformatory","Unknown","Boys","Yes","1853 - present",1,"happened recently","no","unknown","yes","yes","unknown","South Portland","Maine",FALSE
"Illinois State Home for Delinquent Boys","St. Charles, Illinois","Reformatory","Unknown","Boys","No","1904 - present (operates under a different name)",0,"Unknown","no","no known cemetery","no","yes","unknown","St. Charles","Illinois",FALSE
"State Reform School","Topeka, Kansas","Reformatory","All races","Boys","yes","1881 - present (under new name and a prison facility not as an active educationa linsutrials school for boys)",13,NA,"yes","maintained","no","unknown","unknown","Topeka","Kansas",FALSE
"New Jersey State Industrial School for Girls","Trenton, New Jersey","Industrial School","Unknown","Girls","SELECT","1871 - 1974",0,"Unknown","no","no known cemetery","no","yes","yes","Trenton","New Jersey",FALSE
"Reform School for Girls of the District of Columbia","Washington, DC","Reformatory","All races","Girls","No","1888 - 1953",0,"Unknown","no","no known cemetery","no","yes","unknown","Washington","DC",FALSE
"Vermont Reform School","Vergennes, Vermont","Reformatory","Unknown","Boys","No","1874 - 1979",0,"Unknown","no","no known cemetery","no","yes","unknown","Vergennes","Vermont",FALSE
"Wisconsin Industrial School for Boys","Waukesha, Wisconsin","Industrial School","Unknown","Both","No","1860 - 1962",0,"Unknown","no","no known cemetery","no","yes","yes","Waukesha","Wisconsin",FALSE
"Lakin Industrial School for Colored Boys","Lakin, West Virginia","Reformatory","Black youth","Boys","SELECT","1924 - 1956",0,"Unknown","no","no known cemetery","no","unknown","unknown","Lakin","West Virginia",FALSE
"West Virginia Industrial Home for Girls","Salem, West Virginia","Reformatory","All races but segregated","Girls","No","1899 - 2012",3,"includes one recent death","No","no known cemetery","no","yes","unknown","Salem","West Virginia",FALSE
"Lyman School for Boys","Westborough, Massachusetts","Reformatory","All races","Boys","No","1860- 1972",4,NA,"Possible","unknown","no","yes","yes","Westborough","Massachusetts",FALSE
