Name of facility,"City, State",Facility Type,Race,Gender ,Still in existence,Years of Existence,Deaths,Death qualifiers,Cemetery,State of cemetery,Reported on recently,Allegations of Abuse,Allegations of Forced Labor,Notes
House of Refuge of Western Pennsylvania,"Ninth Ward of Allegheny, Pennsylvania (cemetery is located at Cecil, Pennsylvania)",Reformatory,All races but segregated,Both,No,1850-1967,44,article says 35 but Find a grave says 44,yes,maintained,yes ,yes ,unknown,"On corrections property. See: https://www.findagrave.com/cemetery/2415584/morganza-cemetery 
https://www.observer-reporter.com/uncategorized/2016/oct/11/unearthing-the-past/ 
https://historicpittsburgh.org/islandora/object/pitt%3AUS-QQS-mss790/viewer 
https://philadelphiaencyclopedia.org/essays/house-of-refuge/ "
Industrial Home for Colored Girls,"Melvale, Maryland",Industrial School,Black youth,Girls ,No,1884-1973,,,no,unknown,no,unknown,unknown,"https://msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000123/html/am123--222.html
https://mdhistoryonline.net/2018/06/02/h320/ "
House of the Good Shepherd for Colored Girls,"Baltimore, Maryland",Reformatory ,Black youth,Girls ,No,1892-2017,,,no,unknown,no,unknown,yes ,"https://gloverparkhistory.com/estates-and-farms/burleith/the-house-of-the-good-shepherd/
https://msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000123/html/am123--222.html 
https://mdhistoryonline.net/2018/06/02/h377/#:~:text=Founded:%201892%20Location:%20Calverton%20Rd.%20and%20Franklin%20Street%2C%20Baltimore%2C%20MD. 
https://www.google.com/search?q=House+of+the+Good+Shepherd+for+Colored+Girls+baltimore+when+did+it+close&sca_esv=c99dc4ab72a1909f&sxsrf=ANbL-n5hx7z1ENsuRMlBiWvOh46mKtJlYQ%3A1775767788007&udm=50&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpaEWjvZ2Py1XXV8d8KvlI3vxYI1tojT_24H7Q4iMwclR4ijVZpM3lYdXSUQeRtEvWHT_oGI6YzIiUg4dCFbz-1i4SdAXgHX0KSzDabRJPHWzrgGnnamym3ipzTMuhXdTRZKxS2hdsZy5uFyVIVskUk1djQU8roDND-H-Ai0D-O_Tckv1IOvyQcXBsS-lOLQxHl-8RCg&aep=1&ntc=1&sa=X&ved=2ahUKEwj2rNTB0uGTAxWlMlkFHbBWJWsQ2J8OegQIERAI&biw=1280&bih=551&dpr=1.5&mstk=AUtExfB5oFznr4sPccUaVXwqL2IV-vhFcSPkwz8zYDxY2pDjz1oAVw-3lBtW92Cvj0vELMFjGwblDqOvxhOlSxgS9LBFm6WXAVbxYlkK311fEnBabr1cpbVlrD2JBlBQAcnEOHQQu305wrdGoijKWWNCVh1xxraujLntnlKW_I9HZzEhaTjzGZdOHxYYUn_0OZlUxLRolY8F0w2So9CvUE8OuPPcwq8N489uMcfqm4oGUeYLsUQIo6rzDEcqak6XOZBYh_-CzKFlojtTCtBaQJsDePcM1aK1wNtqRvEdLVcg6p0I32j-k6go9ksmr91D-9jXLoH6o__OCYvAWBzkcvdqPCDjD5BbE0YlrpdMk3Sql6u4R0oJp-BH298&csuir=1 "
Virginia Home and Industrial School for Girls,"Bon Air, Virginia",Industrial School,White youth ,Girls ,Yes,1910-,,,no,unknown,yes ,unknown,yes ,"https://socialwelfare.library.vcu.edu/corrections/virginia-home-and-industrial-school-for-girls/
https://www.vpm.org/news/2025-04-09/virginia-juvenile-justice-staffing-shortage-bon-air-jcc-vadoc-la-ky "
Virginia Industrial School for Colored Girls,"Peak’s Turnout, Hanover County, Virginia",Industrial School,Black youth,Girls ,No,1915-2005,2,More deaths reported; burial sites only marked with wooden markers,yes,unknown,no,yes ,yes ,"https://socialwelfare.library.vcu.edu/corrections/the-virginia-industrial-school-for-colored-girls/ 
google.com/search?q=Virginia+Industrial+School+for+Colored+Girls&oq=Virginia+Industrial+School+for+Colored+Girls&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRhAMgYIAhBFGEAyBggDEEUYQNIBBzM3MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8 https://www.dhr.virginia.gov/wp-content/uploads/2018/04/042-0126_BarrettCenter_2016_NRHP_FINAL.pdf 
https://www.findagrave.com/cemetery/2762145/barrett-correctional-facility-cemetery 
https://www.tandfonline.com/doi/abs/10.1080/10999949.2018.1520062#:~:text=Instead%20of%20special%20protection%2C%20girls%20committed%20to,state%20experienced%20vulnerability%20to%20violence%2C%20isolation%2C%20and "
Alabama Boys’ Industrial School (ABIS) ,"Birmingham, Alabama",Industrial School,White youth ,Boys ,Yes,1899,,,no,unknown,yes ,unknown,unknown,https://www.bhamwiki.com/w/Alabama_Boys_Industrial_School
State Training School for Negro Boys ,"Boley, Oklahoma",Industrial School,Black youth,Boys ,No,1924-1983,,,no,unknown,yes ,unknown,unknown,"https://dc.library.okstate.edu/digital/api/collection/Spot/id/477/download
https://chicagoreader.com/news/this-land-is-my-land/ "
Chillicothe Industrial Home for Girls,"Chillicothe, Missouri",Industrial School,White youth ,Girls ,No,1887-1980,,,no,unknown,no,unknown,unknown,"https://www.facebook.com/missouristatearchives/posts/onthisday-in-1887-the-chillicothe-industrial-home-for-girls-was-approved-by-the-/1353105653528129/
https://historicmissouri.org/items/show/118 "
 Missouri Industrial Home for Negro Girls at Tipton,"Tipton, Missouri",Industrial School,Black youth,Girls ,No,1916-1956,,,no,unknown,no,yes ,unknown,http://www.stlouislgbthistory.com/timeline/1900-1960s/1930s-negro-girls-home.html
Missouri Training School for Boys,"Boonville, Missouri",Industrial School,All races but segregated,Boys ,Yes,1883,25,"Find a grave says 51 but only 25 memorials exist and no other evidence of the 51 number. Because we can't go, 25 feels more demonstrative",yes,abandoned,no,yes ,yes ,"https://www.findagrave.com/cemetery/2363458/missouri-boys-training-school-cemetery
https://katytalescom.wordpress.com/category/history/ https://doc.mo.gov/doc-family/bcc 
https://www.sos.mo.gov/CMSImages/Archives/findingaids/RG000.114.pdf "
