published_date,source_category,count
2025-01-01,CNN Wire,105
2025-01-01,Fox News,65
2025-02-01,CNN Wire,133
2025-02-01,Fox News,112
2025-03-01,CNN Wire,134
2025-03-01,Fox News,123
2025-04-01,CNN Wire,172
2025-04-01,Fox News,150
2025-05-01,CNN Wire,134
2025-05-01,Fox News,122
2025-06-01,CNN Wire,172
2025-06-01,Fox News,141
2025-07-01,CNN Wire,112
2025-07-01,Fox News,152
2025-08-01,CNN Wire,116
2025-08-01,Fox News,107
2025-09-01,CNN Wire,150
2025-09-01,Fox News,103
2025-10-01,CNN Wire,118
2025-10-01,Fox News,123
2025-11-01,CNN Wire,31
2025-11-01,Fox News,35
