State,Adverse Action Report,Medical Malpractice Payment Report,Total
Alabama,"4,859",409,"5,268"
Alaska,778,94,872
Arizona,"5,853",935,"6,788"
Arkansas,"2,748",278,"3,026"
California,"19,981","5,160","25,141"
Colorado,"8,148",576,"8,724"
Connecticut,"1,541",660,"2,201"
Delaware,829,155,984
District of Columbia,214,105,319
Florida,"12,126","5,915","18,041"
Georgia,"4,808","1,576","6,384"
Hawaii,336,204,540
Idaho,462,213,675
Illinois,"6,760","2,006","8,766"
Indiana,"3,443","1,366","4,809"
Iowa,"1,644",288,"1,932"
Kansas,"3,161",793,"3,954"
Kentucky,"4,152",753,"4,905"
Louisiana,"6,996","1,200","8,196"
Maine,"1,474",155,"1,629"
Maryland,"3,463","1,175","4,638"
Massachusetts,"2,882","1,248","4,130"
Michigan,"10,275","1,574","11,849"
Minnesota,"3,562",242,"3,804"
Mississippi,"2,220",341,"2,561"
Missouri,"2,360",961,"3,321"
Montana,688,185,873
Nebraska,"1,563",206,"1,769"
Nevada,"2,369",545,"2,914"
New Hampshire,615,241,856
New Jersey,"3,150","2,691","5,841"
New Mexico,957,789,"1,746"
New York,"4,546","6,381","10,927"
North Carolina,"4,530",721,"5,251"
North Dakota,755,38,793
Ohio,"11,867","1,099","12,966"
Oklahoma,"2,771",772,"3,543"
Oregon,"4,296",568,"4,864"
Pennsylvania,"5,270","4,171","9,441"
Rhode Island,481,251,732
South Carolina,"2,416",796,"3,212"
South Dakota,577,72,649
Tennessee,"5,144",633,"5,777"
Texas,"19,752","2,878","22,630"
Utah,"1,878",420,"2,298"
Vermont,584,77,661
Virginia,"6,291",764,"7,055"
Washington,"7,086",830,"7,916"
West Virginia,"1,575",398,"1,973"
Wisconsin,"3,873",289,"4,162"
Wyoming,786,62,848
Puerto Rico,65,926,991
Other Territories,22,5,27
Armed Forces,50,4,54
Total,"209,032","55,194","264,226"
