state,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,total
Alabama,"1,258","1,277","1,074","1,178","1,283","1,156","1,072","1,051",902,913,174,"11,338"
Alaska,158,175,165,181,177,156,147,168,211,157,33,"1,728"
Arizona,"1,572","1,523","1,508","1,521","1,553","1,408","1,367","1,282","1,208","1,293",230,"14,465"
Arkansas,876,808,828,853,745,684,629,502,558,565,88,"7,136"
California,"6,304","6,720","6,170","6,280","6,803","5,023","4,867","4,727","4,766","4,750","1,008","57,418"
Colorado,"1,355","1,740","2,011","2,149","1,831","1,811","1,685","1,756","1,649","1,497",326,"17,810"
Connecticut,471,484,526,468,451,336,378,433,465,486,103,"4,601"
Delaware,345,298,278,226,204,149,173,168,188,208,98,"2,335"
District of Columbia,147,85,61,51,58,58,48,62,90,52,9,721
Florida,"3,495","4,462","4,495","4,043","3,880","3,667","3,329","3,501","3,475","3,337",732,"38,416"
Georgia,"1,022",966,932,"1,079","1,647","1,198","1,377","1,262","1,114","1,203",230,"12,030"
Hawaii,78,96,114,101,114,110,113,111,111,86,9,"1,043"
Idaho,235,267,201,177,137,121,111,117,145,144,37,"1,692"
Illinois,"1,905","1,837","1,992","2,330","1,952","1,137","1,485","2,025","1,992","1,719",408,"18,782"
Indiana,"1,189","1,328","1,269","1,210","1,157",950,"1,062",762,822,"1,032",181,"10,962"
Iowa,475,495,500,488,469,433,373,431,328,317,50,"4,359"
Kansas,597,593,650,"1,017","1,056",815,615,882,787,727,128,"7,867"
Kentucky,"1,032","1,168",861,960,946,850,873,"1,000","1,054",951,177,"9,872"
Louisiana,"1,771","1,603","1,726","1,751","1,725","1,509","1,415","1,649","1,606","1,592",425,"16,772"
Maine,350,350,383,350,329,322,294,334,337,282,60,"3,391"
Maryland,"1,154","1,397","1,375","1,150","1,259","1,056",822,843,929,873,115,"10,973"
Massachusetts,"1,053","1,101","1,042",958,975,956,797,713,693,817,154,"9,259"
Michigan,"2,311","2,076","2,132","2,352","2,670","2,487","2,076","2,078","1,959","2,696",553,"23,390"
Minnesota,990,907,883,841,845,697,631,732,710,825,209,"8,270"
Mississippi,539,555,582,589,485,439,471,437,524,582,108,"5,311"
Missouri,"1,540",984,"1,486","1,270",785,628,641,684,653,610,105,"9,386"
Montana,150,145,121,150,126,146,166,179,180,158,44,"1,565"
Nebraska,436,413,518,462,406,332,269,299,391,406,72,"4,004"
Nevada,585,482,505,526,514,437,535,633,571,613,125,"5,526"
New Hampshire,205,188,252,264,253,163,153,189,175,155,21,"2,018"
New Jersey,"1,841","2,250","1,768","1,762","1,651","1,043","1,124","1,265","1,099","1,095",215,"15,113"
New Mexico,371,315,277,383,415,338,293,347,325,381,62,"3,507"
New York,"2,881","2,972","2,938","2,744","2,885","2,449","1,741","2,149","2,098","2,096",394,"25,347"
North Carolina,"1,137","1,126","1,091","1,107","1,085",973,985,"1,041","1,068",971,213,"10,797"
North Dakota,189,170,194,144,166,157,153,162,154,130,37,"1,656"
Ohio,"2,625","2,923","2,918","2,897","3,165","2,700","2,772","2,614","2,155","2,212",513,"27,494"
Oklahoma,"1,464","1,183","1,333",994,921,766,684,619,683,675,116,"9,438"
Oregon,"1,083","1,130","1,256","1,309","1,320","1,165","1,038","1,011",821,676,153,"10,962"
Pennsylvania,"2,621","2,872","2,931","2,942","2,581","1,900","1,791","1,753","1,907","1,888",202,"23,388"
Rhode Island,178,158,157,147,155,141,119,121,138,184,29,"1,527"
South Carolina,805,738,758,915,932,536,533,993,539,502,109,"7,360"
South Dakota,140,133,142,119,143,137,117,121,111,128,35,"1,326"
Tennessee,"1,675","1,818","1,484","1,270","1,114",922,890,"1,110","1,351","1,216",288,"13,138"
Texas,"6,244","5,846","5,724","4,900","5,009","4,290","4,250","4,289","4,520","4,362",919,"50,353"
Utah,494,584,553,543,554,466,436,411,456,452,77,"5,026"
Vermont,174,210,170,129,113,119,134,119,108,144,37,"1,457"
Virginia,"1,659","1,682","1,704","1,516","1,512","1,241","1,232","1,362","1,453","1,463",304,"15,128"
Washington,"2,110","1,951","1,739","1,629","1,589","1,505","1,543","1,476","1,618","1,499",275,"16,934"
West Virginia,519,585,508,442,463,368,425,474,377,274,55,"4,490"
Wisconsin,948,672,614,608,719,705,770,813,858,830,186,"7,723"
Wyoming,198,157,213,157,160,170,157,166,151,152,52,"1,733"
Puerto Rico,383,301,273,234,274,160,175,222,244,161,29,"2,456"
Other Territories,7,12,13,7,10,3,2,9,11,2,0,76
Armed Forces,4,5,0,2,1,4,14,12,7,16,1,66
Total,"63,348","64,316","63,398","61,875","61,772","51,492","49,352","51,669","50,845","50,555","10,313","578,935"
