"file","keyword_found"
"SP10047.pdf","natural gas"
"SP10049.pdf","methane"
"SP10147.pdf","methane"
"SP10147.pdf","natural gas"
"SP10180.pdf","methane"
"SP10184.pdf","methane"
"SP10277.pdf","methane"
"SP10370.pdf","methane"
"SP10370.pdf","natural gas"
"SP10395.pdf","methane"
"SP10395.pdf","natural gas"
"SP10395.pdf","1972"
"SP10424.pdf","methane"
"SP10481.pdf","methane"
"SP10481.pdf","natural gas"
"SP10481.pdf","1972"
"SP10555.pdf","methane"
"SP10603.pdf","natural gas"
"SP10664.pdf","methane"
"SP10698.pdf","methane"
"SP10741.pdf","natural gas"
"SP10776.pdf","methane"
"SP10776.pdf","natural gas"
"SP10869.pdf","natural gas"
"SP10905.pdf","methane"
"SP10915.pdf","methane"
"SP10915.pdf","natural gas"
"SP10945.pdf","methane"
"SP10945.pdf","natural gas"
"SP10964.pdf","methane"
"SP10970.pdf","methane"
"SP10970.pdf","natural gas"
"SP11005.pdf","methane"
"SP11005.pdf","natural gas"
"SP11054.pdf","methane"
"SP11054.pdf","natural gas"
"SP11186.pdf","methane"
"SP11186.pdf","natural gas"
"SP11186.pdf","1972"
"SP11194.pdf","methane"
"SP11194.pdf","natural gas"
"SP11209.pdf","LPG"
"SP11382.pdf","methane"
"SP11382.pdf","natural gas"
"SP11434.pdf","methane"
"SP11598.pdf","methane"
"SP11602.pdf","methane"
"SP11620.pdf","methane"
"SP11657.pdf","methane"
"SP11692.pdf","natural gas"
"SP11722.pdf","methane"
"SP11725.pdf","methane"
"SP11725.pdf","natural gas"
"SP11818.pdf","methane"
"SP11818.pdf","natural gas"
"SP11850.pdf","methane"
"SP11990.pdf","methane"
"SP11990.pdf","natural gas"
"SP12084.pdf","methane"
"SP12116.pdf","methane"
"SP12116.pdf","natural gas"
"SP12131.pdf","methane"
"SP12277.pdf","methane"
"SP12284.pdf","methane"
"SP12350.pdf","methane"
"SP12415.pdf","methane"
"SP12431.pdf","methane"
"SP12481.pdf","methane"
"SP12506.pdf","methane"
"SP12706.pdf","LPG"
"SP12726.pdf","methane"
"SP12784.pdf","methane"
"SP12841.pdf","LNG"
"SP12841.pdf","methane"
"SP12841.pdf","natural gas"
"SP12841.pdf","1972"
"SP12874.pdf","methane"
"SP12897.pdf","1972"
"SP12899.pdf","natural gas"
"SP13078.pdf","methane"
"SP13105.pdf","LPG"
"SP13109.pdf","methane"
"SP13173.pdf","methane"
"SP13173.pdf","natural gas"
"SP13213.pdf","LPG"
"SP13230.pdf","natural gas"
"SP13244.pdf","methane"
"SP13336.pdf","methane"
"SP13485.pdf","natural gas"
"SP13544.pdf","LPG"
"SP13583.pdf","methane"
"SP13583.pdf","natural gas"
"SP13957.pdf","LPG"
"SP13999.pdf","LPG"
"SP14003.pdf","methane"
"SP14003.pdf","natural gas"
"SP14151.pdf","methane"
"SP14163.pdf","methane"
"SP14175.pdf","methane"
"SP14183.pdf","methane"
"SP14186.pdf","methane"
"SP14232.pdf","methane"
"SP14232.pdf","natural gas"
"SP14238.pdf","methane"
"SP14266.pdf","methane"
"SP14266.pdf","natural gas"
"SP14287.pdf","1972"
"SP14298.pdf","methane"
"SP14311.pdf","methane"
"SP14339.pdf","methane"
"SP14339.pdf","natural gas"
"SP14355.pdf","methane"
"SP14387.pdf","methane"
"SP14387.pdf","natural gas"
"SP14402.pdf","methane"
"SP14453.pdf","methane"
"SP14453.pdf","natural gas"
"SP14457.pdf","methane"
"SP14457.pdf","LPG"
"SP14493.pdf","methane"
"SP14493.pdf","natural gas"
"SP14505.pdf","methane"
"SP14576.pdf","methane"
"SP14576.pdf","natural gas"
"SP14621.pdf","methane"
"SP14621.pdf","natural gas"
"SP14624.pdf","methane"
"SP14647.pdf","methane"
"SP14661.pdf","methane"
"SP14661.pdf","natural gas"
"SP14692.pdf","methane"
"SP14715.pdf","methane"
"SP14715.pdf","natural gas"
"SP14722.pdf","methane"
"SP14757.pdf","methane"
"SP14784.pdf","methane"
"SP14784.pdf","natural gas"
"SP14803.pdf","methane"
"SP14855.pdf","methane"
"SP14856.pdf","methane"
"SP14856.pdf","natural gas"
"SP14857.pdf","methane"
"SP14857.pdf","natural gas"
"SP14867.pdf","methane"
"SP14867.pdf","natural gas"
"SP14897.pdf","methane"
"SP14937.pdf","methane"
"SP14951.pdf","methane"
"SP14951.pdf","natural gas"
"SP15002.pdf","LPG"
"SP15070.pdf","methane"
"SP15070.pdf","natural gas"
"SP15233.pdf","methane"
"SP15234.pdf","methane"
"SP15237.pdf","methane"
"SP15277.pdf","methane"
"SP15334.pdf","methane"
"SP15347.pdf","methane"
"SP15404.pdf","methane"
"SP15404.pdf","natural gas"
"SP15404.pdf","1972"
"SP15716.pdf","methane"
"SP16033.pdf","methane"
"SP16108.pdf","methane"
"SP16108.pdf","natural gas"
"SP16140.pdf","methane"
"SP16140.pdf","natural gas"
"SP16190.pdf","methane"
"SP16219.pdf","methane"
"SP16219.pdf","natural gas"
"SP16346.pdf","methane"
"SP16346.pdf","natural gas"
"SP16415.pdf","methane"
"SP16416.pdf","methane"
"SP16416.pdf","1972"
"SP16478.pdf","methane"
"SP16571.pdf","methane"
"SP16571.pdf","natural gas"
"SP16571.pdf","UN 1972"
"SP16571.pdf","1972"
"SP20274.pdf","methane"
"SP20336.pdf","methane"
"SP20341.pdf","methane"
"SP20391.pdf","methane"
"SP20391.pdf","natural gas"
"SP20418.pdf","methane"
"SP20418.pdf","natural gas"
"SP20443.pdf","methane"
"SP20443.pdf","natural gas"
"SP20464.pdf","methane"
"SP20524.pdf","methane"
"SP20541.pdf","methane"
"SP20571.pdf","methane"
"SP20571.pdf","natural gas"
"SP20681.pdf","methane"
"SP20681.pdf","natural gas"
"SP20795.pdf","methane"
"SP20823.pdf","methane"
"SP20829.pdf","methane"
"SP20858.pdf","methane"
"SP21030.pdf","methane"
"SP21030.pdf","natural gas"
"SP21097.pdf","methane"
"SP21297.pdf","methane"
"SP21297.pdf","natural gas"
"SP21302.pdf","methane"
"SP21302.pdf","natural gas"
"SP21302.pdf","1972"
"SP2709.pdf","methane"
"SP3216.pdf","methane"
"SP4453.pdf","1972"
"SP5967.pdf","methane"
"SP6071.pdf","methane"
"SP6349.pdf","1972"
"SP6443.pdf","1972"
"SP6557.pdf","methane"
"SP6670.pdf","methane"
"SP6769.pdf","methane"
"SP6805.pdf","methane"
"SP7026.pdf","methane"
"SP7218.pdf","methane"
"SP7268.pdf","methane"
"SP7277.pdf","methane"
"SP7277.pdf","natural gas"
"SP7477.pdf","methane"
"SP7657.pdf","methane"
"SP7657.pdf","natural gas"
"SP7767.pdf","methane"
