uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
1,080480000707,Columbine High School,0804800,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19:00,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,17,m,w,student,1,suicide,1783,16,112,42,12,NA,NA,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9×19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,08,08059,21
6,350069000240,Deming Middle School,3500690,Deming Public Schools,11/19/1999,1999-2000,1999,12:45:00,Friday,Deming,New Mexico,public,753,1,0,1,accidental or targeted,12,m,h,student,0,NA,NA,NA,NA,NA,NA,NA,160,6,583,2,2,NA,NA,0,.22-caliber Colt revolver,home,32.261547,-107.762986,44,6,7,502,Luna County,35,35029,33
8,120153001590,Ridgewood High School,1201530,Pasco,1/19/2000,1999-2000,2000,15:00:00,Wednesday,New Port Richey,Florida,public,1852,1,0,1,accidental,16,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,1697,28,96,26,5,NA,NA,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85,9,12,654,Pasco County,12,12101,21
13,260450004135,Buell Elementary School,2604500,Beecher Community School District,2/29/2000,1999-2000,2000,10:00:00,Tuesday,Mount Morris Township,Michigan,public,459,1,0,1,targeted,6,m,b,student,0,NA,NA,NA,NA,NA,NA,NA,125,261,37,0,1,NA,NA,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20,KG,4,421,Genesee County,26,26049,21
15,040146000077,Carmichael Elementary School,0401460,Sierra Vista Unified District,5/10/2000,1999-2000,2000,13:30:00,Wednesday,Sierra Vista,Arizona,public,397,1,0,1,targeted,39,m,NA,spouse of teacher,1,suicide,NA,NA,NA,NA,NA,NA,178,51,154,8,6,NA,NA,0,NA,NA,31.56269,-110.29924,24.5,KG,5,NA,Cochise County,04,04003,13
16,120150002873,Lake Worth Middle School,1201500,Palm Beach County School District,5/26/2000,1999-2000,2000,15:00:00,Friday,Lake Worth,Florida,public,1525,1,0,1,targeted,13,m,b,student,0,NA,NA,NA,NA,NA,NA,NA,414,560,528,17,6,NA,NA,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95,6,8,1186,Palm Beach County,12,12099,21
21,240009000263,Lake Clifton Eastern High School,2400090,Baltimore City Public Schools,1/17/2001,2000-2001,2001,08:45:00,Wednesday,Baltimore,Maryland,public,2236,1,0,1,targeted,19,m,NA,none,0,NA,NA,NA,NA,NA,NA,NA,24,2205,2,4,1,NA,NA,0,.32-caliber handgun,NA,39.316116,-76.590038,126.5,PK,12,914,Baltimore City,24,24510,11
23,061623002026,Santana High School,0616230,Grossmont Union High,3/5/2001,2000-2001,2001,09:20:00,Monday,Santee,California,public,1894,2,13,15,indiscriminate,15,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,1591,24,174,58,8,NA,NA,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202,San Diego County,06,06073,21
26,180387000637,Lew Wallace High School,1803870,Gary Community School Corp,3/30/2001,2000-2001,2001,08:15:00,Friday,Gary,Indiana,public,1179,1,0,1,targeted,17,m,NA,former student (expelled),0,NA,NA,NA,NA,NA,NA,NA,2,1135,39,3,0,NA,NA,1,pistol,NA,41.536645,-87.34132,64,9,12,446,Lake County,18,18089,13
30,210135000271,Latonia Elementary School,2101350,Covington Independent,9/12/2001,2001-2002,2001,15:00:00,Wednesday,Covington,Kentucky,public,526,1,0,1,targeted,30,f,w,parent of student,0,NA,NA,NA,NA,NA,NA,NA,441,81,0,1,3,NA,NA,0,.380-caliber semiautomatic pistol,NA,39.044149,-84.49833,16.8,KG,5,350,Kenton County,21,21117,21
